"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","y"
306,104,14,50,58,25,7,2954,822,55,313,377,187,"N","Y",116,222,15,"N",750
220,54,10,30,39,31,5,1185,299,40,145,154,128,"N","Y",50,136,20,"N",297.5
278,70,7,22,37,18,18,7186,2081,190,935,1088,643,"Y","N",0,0,0,"Y",325
445,99,1,46,24,29,4,618,129,1,72,31,48,"Y","N",278,415,16,"Y",87.5
143,39,5,18,30,15,9,639,151,16,80,97,61,"N","N",138,15,1,"N",175
589,170,40,107,108,69,6,2325,634,128,371,376,238,"Y","Y",368,20,3,"Y",1237.5
343,103,6,48,36,40,15,4338,1193,70,581,421,325,"Y","Y",211,56,13,"Y",430
284,69,1,33,18,25,5,1407,361,6,139,98,111,"Y","Y",122,140,5,"N",295
438,103,2,65,32,71,2,440,103,2,67,32,71,"Y","N",276,7,9,"N",100
600,144,33,85,117,65,2,696,173,38,101,130,69,"Y","N",319,4,14,"Y",165
663,200,29,108,121,32,4,1447,404,57,210,222,68,"Y","Y",241,8,6,"Y",250
232,55,9,34,23,45,12,4405,1213,194,702,705,625,"N","Y",623,35,3,"N",1300
209,45,0,38,19,42,10,3859,916,23,557,279,478,"Y","N",132,205,5,"Y",504
160,39,8,18,31,22,14,2128,543,56,304,268,298,"Y","Y",33,3,0,"Y",275
497,136,7,58,38,26,11,3871,1066,40,450,367,241,"Y","Y",304,347,10,"Y",850
210,70,13,32,51,28,15,4040,1130,97,544,462,551,"Y","Y",0,0,0,"Y",365
151,41,4,26,21,19,2,288,68,9,45,39,35,"Y","N",28,56,2,"Y",95
341,95,6,48,42,20,10,2964,808,81,379,428,221,"N","N",158,4,5,"N",100
537,147,23,58,88,47,10,2744,730,97,302,351,174,"N","Y",92,257,20,"N",277.5
399,102,3,56,34,34,5,670,167,4,89,48,54,"Y","N",211,9,3,"Y",80
309,94,5,37,32,26,13,4618,1330,57,616,522,436,"N","Y",161,3,3,"N",600
336,93,9,35,46,23,15,5779,1610,128,730,741,497,"Y","N",0,0,0,"Y",566
616,163,27,83,107,32,3,1437,377,65,181,227,82,"Y","N",110,308,15,"Y",200
579,174,7,67,78,58,6,3053,880,32,366,337,218,"N","Y",280,479,5,"N",657
618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,"Y","Y",330,16,8,"Y",2412.5
257,66,5,31,26,32,14,3910,979,33,518,324,382,"N","N",87,166,14,"Y",250
315,76,13,35,60,25,3,630,151,24,68,94,55,"N","Y",498,39,13,"N",155
591,157,16,90,78,26,4,2020,541,52,310,226,91,"N","Y",290,440,25,"N",640
404,92,11,54,49,18,6,1354,325,30,188,135,63,"Y","Y",222,5,5,"Y",300
429,91,12,41,42,57,13,5590,1397,83,578,579,644,"Y","N",686,46,4,"N",825
212,54,13,28,44,18,2,233,59,13,31,46,20,"Y","Y",243,23,5,"Y",99
453,101,3,46,43,61,3,948,218,6,96,72,91,"N","N",249,444,16,"N",195
161,43,4,17,26,22,3,707,179,21,77,99,76,"Y","N",300,12,2,"Y",168
184,47,5,20,28,18,11,3327,890,74,419,382,304,"N","N",49,2,0,"N",450
591,184,20,83,79,38,5,1689,462,40,219,195,82,"N","N",303,12,5,"N",NA
441,118,28,84,86,68,8,2723,750,126,433,420,309,"Y","Y",190,2,2,"Y",1300
283,74,4,34,29,22,10,3919,1062,85,505,456,283,"N","N",145,5,7,"N",737.5
560,161,26,89,96,66,4,1789,470,65,233,260,155,"N","N",332,9,8,"N",625
328,91,12,51,43,33,2,342,94,12,51,44,33,"N","Y",145,59,8,"N",125
586,159,12,72,79,53,9,3082,880,83,363,477,295,"N","Y",181,13,4,"N",1043.333
503,136,5,62,48,83,10,3423,970,20,408,303,414,"N","N",65,258,8,"N",725
344,85,24,69,64,88,7,911,214,64,150,156,187,"Y","N",0,0,0,"Y",300
680,223,31,119,96,34,3,1928,587,35,262,201,91,"Y","N",429,8,6,"Y",365
279,64,0,31,26,30,1,279,64,0,31,26,30,"N","N",107,205,16,"N",75
484,127,20,66,65,67,7,3006,844,116,436,458,377,"N","Y",1231,80,7,"N",1183.333
283,70,8,33,37,27,12,4479,1222,94,557,483,307,"Y","Y",156,2,2,"Y",225
589,149,21,89,86,64,7,3558,928,102,513,471,351,"Y","Y",371,6,6,"Y",787.5
327,84,22,53,62,38,10,4273,1123,212,577,700,334,"Y","Y",483,48,6,"N",800
464,128,28,67,94,52,13,5829,1552,210,740,840,452,"Y","N",0,0,0,"Y",587.5
508,146,8,80,44,46,9,3148,915,41,571,289,326,"Y","N",245,5,9,"Y",762
584,157,20,95,73,63,10,4704,1320,93,724,522,576,"Y","Y",276,421,11,"Y",420
625,179,4,94,60,65,5,1696,476,12,216,163,166,"Y","Y",303,450,14,"Y",575
209,56,12,22,36,19,2,216,58,12,24,37,19,"N","Y",201,6,3,"N",90
407,93,8,47,30,30,2,969,230,14,121,69,68,"N","N",172,317,25,"N",150
209,59,6,20,37,27,4,884,209,14,66,106,92,"N","Y",415,35,3,"N",220
317,88,3,40,32,19,8,2543,715,28,269,270,118,"Y","N",220,16,4,"Y",450
288,65,8,30,36,27,9,2815,698,55,315,325,189,"N","Y",259,30,10,"Y",650
303,71,3,18,30,36,3,344,76,3,20,36,45,"N","Y",468,47,6,"N",100
330,77,19,47,53,27,6,1928,516,90,247,288,161,"N","N",149,8,6,"N",670
504,120,28,71,71,54,3,1085,259,54,150,167,114,"Y","Y",103,283,19,"Y",175
258,60,8,28,33,18,3,638,170,17,80,75,36,"Y","N",358,32,8,"Y",137
374,94,5,36,26,62,7,1968,519,26,181,199,288,"N","N",756,64,15,"N",875
299,75,6,38,23,26,3,580,160,8,71,33,44,"N","Y",212,1,2,"N",140
576,167,8,89,49,57,4,822,232,19,132,83,79,"N","Y",325,12,8,"N",210
381,110,9,61,45,32,7,3015,834,40,451,249,168,"N","Y",228,7,5,"N",800
288,76,7,34,37,15,4,1644,408,16,198,120,113,"N","N",203,3,3,"N",240
369,93,9,43,42,49,5,1258,323,54,181,177,157,"Y","Y",149,1,6,"Y",350
330,76,12,35,41,47,4,1367,326,55,167,198,167,"N","N",512,30,5,"N",389
547,137,2,58,47,12,2,1038,271,3,129,80,24,"Y","N",261,459,22,"Y",175
359,84,4,46,27,21,12,4992,1257,37,699,386,387,"N","N",151,8,5,"N",514
514,144,0,67,54,79,9,4739,1169,13,583,374,528,"N","Y",229,453,15,"N",1940
540,135,30,82,88,55,1,540,135,30,82,88,55,"Y","N",157,6,14,"Y",172
437,123,9,62,55,40,9,4139,1203,79,676,390,364,"Y","Y",82,170,15,"Y",NA
309,72,0,33,31,26,5,354,82,0,41,32,26,"N","Y",117,269,12,"N",130
271,77,5,35,29,33,12,4933,1358,48,630,435,403,"Y","N",62,90,3,"Y",450
216,56,4,22,18,15,12,2796,665,43,266,304,198,"Y","Y",391,44,4,"Y",250
256,70,13,42,36,44,16,7058,1845,312,965,1128,990,"N","Y",41,118,8,"Y",1050
466,108,33,75,86,72,3,652,142,44,102,109,102,"Y","Y",286,8,8,"Y",215
462,119,16,49,65,37,7,2131,583,69,244,288,150,"Y","Y",866,65,6,"Y",678
419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,"Y","N",0,0,0,"Y",487.5
33,6,0,2,4,7,1,33,6,0,2,4,7,"Y","N",205,5,4,"Y",897
376,82,21,42,60,35,5,1770,408,115,238,299,157,"Y","N",0,0,0,"Y",425
186,44,7,28,16,11,1,186,44,7,28,16,11,"N","N",99,3,1,"N",100
205,52,8,31,27,17,12,5134,1323,56,643,445,459,"Y","Y",155,3,2,"Y",400
523,135,8,52,44,52,9,3368,895,39,377,284,296,"N","N",367,475,19,"N",750
275,68,5,42,42,61,6,961,238,16,128,104,172,"N","Y",181,3,2,"N",191
627,178,14,68,76,46,6,3146,902,74,494,345,242,"N","Y",309,492,5,"N",740
394,86,1,38,28,36,4,1089,267,3,94,71,76,"N","Y",203,369,16,"N",250
208,57,8,32,25,18,3,653,170,17,98,54,62,"N","Y",42,94,13,"N",140
382,101,16,50,55,22,1,382,101,16,50,55,22,"Y","N",200,7,6,"Y",97.5
459,113,20,59,57,68,12,5348,1369,155,713,660,735,"Y","N",0,0,0,"Y",740
549,149,7,73,47,42,1,549,149,7,73,47,42,"N","N",255,450,17,"N",140
303,84,4,35,32,23,2,312,87,4,39,32,23,"N","N",179,5,3,"N",97
522,163,9,82,46,62,13,7037,2019,153,1043,827,535,"Y","Y",352,9,1,"Y",1000
512,117,29,54,88,43,6,1750,412,100,204,276,155,"Y","N",1236,98,18,"Y",100
220,66,5,20,28,13,3,290,80,5,27,31,15,"Y","N",281,21,3,"Y",90
522,140,16,73,77,60,4,730,185,22,93,106,86,"N","Y",1320,166,17,"N",200
461,112,18,54,54,35,2,680,160,24,76,75,49,"Y","N",111,226,11,"Y",135
581,145,17,66,68,21,2,831,210,21,106,86,40,"N","Y",320,465,32,"N",155
530,159,3,82,50,47,6,1619,426,11,218,149,163,"Y","N",196,354,15,"Y",475
557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,"N","N",1160,53,7,"N",1450
439,96,0,44,36,65,4,711,148,1,68,56,99,"N","Y",229,406,22,"N",150
453,103,8,53,33,52,2,507,123,8,63,39,58,"Y","N",289,407,6,"Y",105
528,122,1,67,45,51,4,1716,403,12,211,146,155,"Y","N",209,372,17,"Y",350
633,210,6,91,56,59,6,3070,872,19,420,230,274,"N","N",367,432,16,"N",90
16,2,0,1,0,0,2,28,4,0,1,0,0,"Y","Y",247,4,8,"Y",1240
562,169,17,88,73,53,8,3181,841,61,450,342,373,"Y","Y",351,442,17,"Y",530
281,76,3,42,25,20,8,2658,657,48,324,300,179,"Y","Y",106,144,7,"Y",341.667
368,103,3,48,28,54,8,1897,493,9,207,162,198,"N","N",209,246,3,"N",326.667
263,70,1,26,23,30,4,888,220,9,83,82,86,"N","Y",81,147,4,"N",250
265,68,8,26,30,29,7,1337,339,32,135,163,128,"N","N",92,5,3,"Y",425
520,120,17,53,44,21,4,927,227,22,106,80,52,"Y","N",70,144,11,"Y",185
19,4,1,2,3,1,1,19,4,1,2,3,1,"N","N",692,70,8,"Y",920
193,47,10,21,29,24,6,1136,256,42,129,139,106,"Y","N",299,13,5,"Y",245
181,46,1,19,18,17,5,937,238,9,88,95,104,"Y","Y",37,98,9,"Y",233
213,61,4,17,22,3,17,4061,1145,83,488,491,244,"Y","N",178,45,4,"Y",235
510,147,10,56,52,53,7,2872,821,63,307,340,174,"N","Y",810,99,18,"N",1150
578,138,1,56,59,34,3,1399,357,7,149,161,87,"N","Y",133,371,20,"N",160
200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,"N","N",398,29,7,"N",643
441,113,5,76,52,76,5,1546,397,17,226,149,191,"Y","N",160,290,11,"Y",425
172,42,3,17,14,15,10,4086,1150,57,579,363,406,"N","N",65,0,0,"N",900
580,194,9,91,62,78,8,3372,1028,48,604,314,469,"N","Y",270,13,6,"N",989
279,69,4,35,31,32,4,1359,355,31,180,148,158,"N","Y",133,173,9,"N",277.5
610,186,19,107,98,74,6,2728,753,69,399,366,286,"N","Y",1182,96,13,"N",1300
360,81,5,37,44,37,7,2268,566,41,279,257,246,"N","Y",170,284,3,"N",525
580,207,8,107,71,105,5,2778,978,32,474,322,417,"Y","Y",121,267,19,"Y",1600
408,117,11,66,41,34,1,408,117,11,66,41,34,"N","N",942,72,11,"N",120
221,53,2,21,23,22,8,1063,283,15,107,124,106,"N","Y",325,58,6,"N",277
497,127,7,65,48,37,5,2703,806,32,379,311,138,"N","Y",325,9,3,"N",700
492,136,5,76,50,94,12,5511,1511,39,897,451,875,"Y","Y",313,381,20,"Y",875
573,144,9,85,60,78,8,3198,857,97,470,420,332,"Y","Y",1314,131,12,"Y",960
631,170,9,77,44,31,11,4908,1457,30,775,357,249,"Y","N",408,4,3,"Y",1000
