"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","y"
529,137,26,86,97,97,15,6661,1785,291,1082,949,989,"Y","Y",280,10,5,"Y",933.333
561,118,35,70,94,33,16,6677,1575,442,901,1210,608,"Y","N",463,32,8,"Y",1078
155,41,12,21,29,22,16,5409,1338,181,746,805,875,"Y","N",165,9,1,"Y",260
458,114,13,67,57,48,4,1350,298,28,160,123,122,"Y","N",246,389,18,"Y",475
565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,"Y","Y",292,9,5,"Y",1861.46
233,49,2,41,23,18,8,1350,336,7,166,122,106,"Y","Y",102,132,10,"Y",375
566,154,22,76,84,43,14,6100,1583,131,743,693,300,"Y","N",316,439,10,"Y",750
574,152,31,91,101,64,3,985,260,53,148,173,95,"N","N",1253,111,11,"N",215
284,64,14,30,42,24,18,7023,1925,348,986,1239,666,"N","Y",96,4,4,"N",672
408,94,4,42,36,66,9,3573,866,59,429,365,410,"N","N",282,487,19,"N",535
370,96,21,49,46,60,15,6986,1972,231,1070,955,921,"N","Y",137,5,9,"N",733.333
185,40,4,23,11,18,3,524,125,7,58,37,47,"N","Y",97,2,2,"N",90
479,133,10,48,72,55,17,7472,2147,153,980,1032,854,"N","N",237,5,4,"N",773.333
528,132,21,61,74,41,6,2641,671,97,273,383,226,"N","Y",885,105,8,"N",1008.333
599,183,10,80,74,32,5,2482,715,27,330,326,158,"Y","Y",231,374,18,"Y",775
225,61,5,32,26,26,11,1568,408,25,202,185,257,"Y","N",132,9,0,"Y",387
278,86,4,33,38,45,1,278,86,4,33,38,45,"N","N",102,4,2,"N",110
401,100,2,60,19,28,4,876,238,2,126,44,55,"N","Y",193,11,4,"N",197
219,47,8,24,26,17,12,1188,286,23,100,125,63,"Y","N",260,58,4,"Y",271
165,39,2,13,9,16,3,196,44,2,18,10,18,"Y","N",332,19,2,"N",75
315,73,5,23,37,16,4,450,108,6,38,46,28,"Y","N",227,15,3,"Y",110
249,69,6,32,19,20,4,702,209,10,97,48,44,"N","Y",103,8,2,"N",181
181,58,6,34,23,22,1,181,58,6,34,23,22,"N","N",88,0,3,"N",86.5
490,150,21,69,58,35,14,6126,1839,121,983,707,600,"Y","Y",96,5,3,"N",1000
551,171,13,94,83,94,13,6090,1840,128,969,900,917,"N","Y",1199,149,5,"N",1800
550,147,29,85,91,71,6,2816,815,117,405,474,319,"Y","N",1218,104,10,"Y",1310
431,127,8,77,45,58,2,667,187,9,117,64,88,"N","Y",283,8,3,"N",202.5
491,141,11,77,47,37,15,4291,1240,84,615,430,340,"Y","Y",239,8,2,"Y",525
199,52,9,26,28,21,6,805,191,30,113,119,87,"N","N",235,22,5,"N",265
166,34,0,20,13,17,1,166,34,0,20,13,17,"N","Y",64,119,9,"N",122
338,92,18,42,60,21,3,682,185,36,88,112,50,"Y","Y",0,0,0,"Y",145
216,54,2,27,25,33,1,216,54,2,27,25,33,"N","N",317,36,1,"N",75
243,53,4,18,26,27,4,853,228,23,101,110,76,"N","Y",107,3,3,"N",240
489,131,19,77,55,34,7,2051,549,62,300,263,153,"Y","N",310,9,9,"Y",780
490,148,14,64,78,49,13,3400,1000,113,445,491,301,"Y","Y",0,0,0,"N",700
442,131,18,68,77,33,6,1416,398,47,210,203,136,"Y","Y",233,7,7,"Y",550
209,54,3,25,14,12,1,209,54,3,25,14,12,"Y","N",102,6,3,"Y",68
20,1,0,0,0,0,2,41,9,2,6,7,4,"N","Y",78,220,6,"N",2127.333
211,43,10,26,35,39,3,498,116,14,59,55,78,"Y","N",463,32,8,"Y",120
572,152,18,105,49,65,2,978,249,36,168,91,101,"Y","N",325,13,3,"Y",200
359,80,15,45,48,63,7,1493,359,61,176,202,175,"N","N",682,93,13,"N",700
526,163,12,88,50,77,4,1556,470,38,245,167,174,"Y","N",250,11,1,"Y",750
313,83,9,43,41,30,14,5885,1543,104,751,714,535,"N","N",58,141,23,"N",450
551,160,23,86,90,87,5,2235,602,75,278,328,273,"Y","N",1224,115,11,"Y",997
237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,"N","N",523,43,6,"N",750
236,56,6,41,19,21,5,1257,329,24,166,125,105,"Y","Y",172,1,4,"Y",190
473,154,6,61,48,29,6,1966,566,29,250,252,178,"Y","Y",846,84,9,"Y",580
357,96,7,50,45,39,5,1394,344,43,178,192,136,"Y","N",167,2,4,"Y",300
327,68,13,42,29,45,18,3949,939,78,438,380,466,"Y","Y",659,53,7,"Y",400
341,110,9,45,49,46,9,2331,658,50,249,322,274,"Y","Y",251,9,4,"Y",560
608,160,28,130,74,89,8,4071,1182,103,862,417,708,"Y","Y",426,4,6,"Y",1670
486,145,11,51,76,40,11,3967,1102,67,410,497,284,"N","Y",88,204,16,"Y",500
307,80,1,42,36,29,7,2421,656,18,379,198,184,"Y","N",145,2,2,"Y",472
246,76,5,35,39,13,6,912,234,12,102,96,80,"Y","Y",44,0,1,"Y",250
348,90,11,50,45,43,10,2288,614,43,295,273,269,"Y","Y",60,176,6,"Y",450
312,68,2,32,22,24,1,312,68,2,32,22,24,"Y","Y",86,150,15,"Y",70
496,119,8,57,33,21,7,3358,882,36,365,280,165,"N","N",155,371,29,"N",875
126,27,3,8,10,5,4,239,49,3,16,13,14,"N","Y",190,2,9,"N",190
288,63,3,25,33,16,10,2682,667,38,315,259,204,"Y","N",135,257,7,"Y",341.667
593,152,23,69,75,53,6,2765,686,133,369,384,321,"Y","N",315,10,6,"Y",940
687,213,10,91,65,27,4,1518,448,15,196,137,89,"Y","Y",294,445,13,"Y",350
642,211,14,107,59,52,5,2364,770,27,352,230,193,"N","N",337,19,4,"N",740
289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,"Y","N",166,211,7,"Y",616
559,141,2,48,61,73,8,3162,874,16,421,349,359,"N","Y",352,414,9,"N",925
205,43,2,24,17,20,7,854,219,12,105,99,71,"N","Y",131,6,1,"N",286.667
127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,"N","N",167,18,6,"N",500
480,112,18,50,71,44,7,3031,771,110,338,406,239,"N","Y",94,270,16,"N",750
600,139,0,94,29,60,2,1236,309,1,201,69,110,"N","Y",300,12,9,"N",160
387,124,1,67,27,36,7,1775,506,6,272,125,194,"N","Y",186,290,17,"N",550
593,172,22,82,100,57,1,593,172,22,82,100,57,"Y","N",1222,139,15,"Y",165
475,126,3,61,43,52,6,1700,433,7,217,93,146,"Y","N",37,113,7,"Y",385
